date,A_count,B_count,C_count,D_count
2011-11-01,131,160,69,170
2011-11-02,139,161,69,119
2011-11-03,144,122,75,145
2011-11-04,164,110,76,131
2011-11-05,69,148,80,132
2011-11-06,111,135,86,120
2011-11-07,119,149,81,120
2011-11-08,131,162,82,133
2011-11-09,137,139,62,134
2011-11-10,122,124,56,142
2011-11-11,103,149,75,155
2011-11-12,144,149,69,145
2011-11-13,120,157,76,146
2011-11-14,106,162,83,107
2011-11-15,144,181,71,95
2011-11-16,131,87,63,133
2011-11-17,145,129,76,120
2011-11-18,144,137,76,134
2011-11-19,119,149,80,148
2011-11-20,130,155,82,124
2011-11-21,106,139,92,108
2011-11-22,144,121,45,134
2011-11-23,132,162,66,134
2011-11-24,151,138,70,142
2011-11-25,107,124,76,147
2011-11-26,133,162,79,167
2011-11-27,144,149,72,71
2011-11-28,107,163,62,114
2011-11-29,182,162,83,122
2011-11-30,121,137,71,134
