date,A_count,B_count,C_count,D_count
2011-10-01,141,133,70,109
2011-10-02,114,123,60,122
2011-10-03,129,171,73,143
2011-10-04,133,146,72,140
2011-10-05,158,134,54,144
2011-10-06,111,162,61,125
2011-10-07,105,133,67,105
2011-10-08,116,159,62,130
2011-10-09,105,146,86,129
2011-10-10,167,153,74,92
2011-10-11,117,143,68,105
2011-10-12,142,159,82,118
2011-10-13,128,132,67,108
2011-10-14,130,146,80,156
2011-10-15,118,151,74,131
2011-10-16,118,176,77,119
2011-10-17,130,129,72,147
2011-10-18,132,123,80,118
2011-10-19,139,134,67,144
2011-10-20,152,122,74,131
2011-10-21,142,185,76,138
2011-10-22,143,134,89,128
2011-10-23,105,160,65,144
2011-10-24,92,146,62,117
2011-10-25,130,147,68,131
2011-10-26,117,136,62,136
2011-10-27,131,135,93,161
2011-10-28,145,148,68,114
2011-10-29,121,149,81,108
2011-10-30,106,157,74,119
2011-10-31,131,170,75,107
2011-11-01,131,160,69,170
2011-11-02,139,161,69,119
2011-11-03,144,122,75,145
2011-11-04,164,110,76,131
2011-11-05,69,148,80,132
2011-11-06,111,135,86,120
2011-11-07,119,149,81,120
2011-11-08,131,162,82,133
2011-11-09,137,139,62,134
2011-11-10,122,124,56,142
2011-11-11,103,149,75,155
2011-11-12,144,149,69,145
2011-11-13,120,157,76,146
2011-11-14,106,162,83,107
2011-11-15,144,181,71,95
2011-11-16,131,87,63,133
2011-11-17,145,129,76,120
2011-11-18,144,137,76,134
2011-11-19,119,149,80,148
2011-11-20,130,155,82,124
2011-11-21,106,139,92,108
2011-11-22,144,121,45,134
2011-11-23,132,162,66,134
2011-11-24,151,138,70,142
2011-11-25,107,124,76,147
2011-11-26,133,162,79,167
2011-11-27,144,149,72,71
2011-11-28,107,163,62,114
2011-11-29,182,162,83,122
2011-11-30,121,137,71,134
2011-12-01,110,147,64,140
2011-12-02,120,124,83,124
2011-12-03,111,162,77,105
2011-12-04,128,149,83,147
2011-12-05,120,168,83,123
2011-12-06,133,124,71,108
2011-12-07,109,151,76,147
2011-12-08,133,162,64,134
2011-12-09,146,124,83,148
2011-12-10,136,200,77,147
2011-12-11,108,138,86,122
2011-12-12,141,128,65,132
2011-12-13,133,137,78,109
2011-12-14,148,128,83,147
2011-12-15,156,146,65,134
2011-12-16,152,138,102,153
2011-12-17,120,151,72,109
2011-12-18,110,127,66,136
2011-12-19,122,151,71,147
2011-12-20,147,164,67,109
2011-12-21,116,153,75,185
2011-12-22,146,126,71,123
2011-12-23,121,159,78,112
2011-12-24,122,151,66,122
2011-12-25,121,166,78,113
2011-12-26,135,174,85,130
2011-12-27,121,170,79,122
2011-12-28,148,138,66,136
2011-12-29,116,128,82,111
2011-12-30,147,139,78,136
2011-12-31,135,165,86,149
2012-01-01,161,133,90,138
2012-01-02,134,164,88,110
2012-01-03,143,139,72,144
2012-01-04,135,139,67,136
2012-01-05,112,139,73,151
2012-01-06,123,152,86,159
2012-01-07,103,139,70,155
2012-01-08,119,165,85,122
2012-01-09,122,134,72,113
2012-01-10,160,165,73,124
2012-01-11,147,153,73,150
2012-01-12,98,178,79,118
2012-01-13,135,152,73,149
2012-01-14,123,161,86,123
2012-01-15,85,152,70,124
2012-01-16,147,129,86,124
2012-01-17,130,141,80,137
2012-01-18,145,121,93,124
2012-01-19,123,137,79,150
2012-01-20,167,140,84,118
2012-01-21,148,178,80,150
2012-01-22,136,165,68,138
2012-01-23,123,116,74,164
2012-01-24,98,153,64,137
2012-01-25,148,141,72,146
2012-01-26,109,102,74,137
2012-01-27,114,165,93,114
2012-01-28,136,148,86,126
2012-01-29,115,162,62,105
2012-01-30,136,141,80,122
2012-01-31,150,184,74,125
